Time(s),Axial drift (nm)
0.000000,0.000000
0.050025,25.947281
0.100050,10.011740
0.150075,7.169715
0.200100,-7.581946
0.250125,-4.503367
0.300150,-2.536124
0.350175,13.338804
0.400200,0.344354
0.450225,32.503121
0.500250,21.494833
0.550275,25.614103
0.600300,-13.398911
0.650325,-6.308690
0.700350,26.015051
0.750375,6.966471
0.800400,-29.951147
0.850425,3.408226
0.900450,-10.532980
0.950475,89.342618
1.000500,-12.967844
1.050525,26.628857
1.100550,-15.969665
1.150575,-62.450117
1.200600,-8.990174
1.250625,26.725961
1.300650,-18.540165
1.350675,15.618589
1.400700,24.389395
1.450725,-24.821008
1.500750,71.803324
1.550775,5.491948
1.600800,26.001706
1.650825,17.926687
1.700850,18.860882
1.750875,8.376388
1.800900,-5.655337
1.850925,91.662324
1.900950,-11.059692
1.950975,18.409767
2.001001,-28.669205
2.051026,-5.964372
2.101051,7.281933
2.151076,-24.831463
2.201101,31.852783
2.251126,-8.544796
2.301151,-19.704404
2.351176,20.962732
2.401201,0.614930
2.451226,16.716872
2.501251,29.370731
2.551276,30.742558
2.601301,2.254370
2.651326,23.655516
2.701351,2.383247
2.751376,1.128387
2.801401,47.257604
2.851426,36.796358
2.901451,4.251081
2.951476,69.811963
3.001501,19.808715
3.051526,-3.099060
3.101551,4.791949
3.151576,-14.857973
3.201601,87.855960
3.251626,-10.712720
3.301651,33.393170
3.351676,-0.366720
3.401701,34.962465
3.451726,-1.671871
3.501751,24.664511
3.551776,-25.824885
3.601801,-14.830795
3.651826,21.815346
3.701851,-33.584769
3.751876,-13.060337
3.801901,10.580639
3.851926,27.439470
3.901951,76.676261
3.951976,42.417326
4.002001,-18.084192
4.052026,41.116523
4.102051,-17.720323
4.152076,41.727210
4.202101,51.181747
4.252126,19.745878
4.302151,73.401140
4.352176,-27.424752
4.402201,9.398697
4.452226,40.393524
4.502251,28.463050
4.552276,56.537775
4.602301,-21.382513
4.652326,-1.650730
4.702351,65.741417
4.752376,-35.222305
4.802401,95.911813
4.852426,35.447754
4.902451,99.940786
4.952476,-37.689565
5.002501,22.279014
5.052526,12.564795
5.102551,8.054613
5.152576,11.759463
5.202601,67.199768
5.252626,2.453508
5.302651,-0.294107
5.352676,5.478083
5.402701,74.326152
5.452726,-7.715331
5.502751,23.060156
5.552776,51.759973
5.602801,13.690982
5.652826,11.240118
5.702851,38.512188
5.752876,27.838375
5.802901,26.590550
5.852926,25.822178
5.902951,-41.939500
5.952976,14.306642
6.003002,69.315932
6.053027,62.734334
6.103052,38.264374
6.153077,64.055810
6.203102,36.775558
6.253127,28.870792
6.303152,105.920861
6.353177,23.637127
6.403202,74.673241
6.453227,77.203232
6.503252,38.688654
6.553277,58.120705
6.603302,-29.155407
6.653327,27.263722
6.703352,-23.926441
6.753377,83.800992
6.803402,21.692838
6.853427,8.396624
6.903452,-11.578450
6.953477,35.297003
7.003502,2.869570
7.053527,40.535627
7.103552,24.295643
7.153577,8.196636
7.203602,-12.589294
7.253627,75.571309
7.303652,18.444548
7.353677,42.313231
7.403702,22.390504
7.453727,1.562520
7.503752,5.595365
7.553777,18.617696
7.603802,-52.793639
7.653827,-20.834864
7.703852,-5.347711
7.753877,132.167065
7.803902,22.788129
7.853927,18.368278
7.903952,-8.571078
7.953977,59.975000
8.004002,80.945470
8.054027,39.219031
8.104052,-20.313675
8.154077,-16.376969
8.204102,88.405185
8.254127,77.485457
8.304152,27.273346
8.354177,-16.103040
8.404202,-48.610761
8.454227,35.584084
8.504252,17.917609
8.554277,73.646698
8.604302,65.081944
8.654327,74.085034
8.704352,7.515896
8.754377,-2.875742
8.804402,15.211525
8.854427,9.539305
