Time(s),Axial drift (nm)
0.000000,0.000000
0.098183,10.658805
0.196365,11.217439
0.294548,18.026094
0.392731,9.436493
0.490914,2.794754
0.589096,-0.941945
0.687279,19.347562
0.785462,-11.119014
0.883644,-3.409490
0.981827,6.764362
1.080010,-6.561491
1.178193,14.064798
1.276375,5.463701
1.374558,3.148980
1.472741,3.376310
1.570923,7.357632
1.669106,9.369774
1.767289,0.001077
1.865472,14.137086
1.963654,12.263320
2.061837,7.465146
2.160020,20.447154
2.258202,1.039092
2.356385,14.178026
2.454568,10.309268
2.552750,9.800705
2.650933,11.279594
2.749116,9.452336
2.847299,10.804251
2.945481,-3.995590
3.043664,7.114291
3.141847,9.391692
3.240029,1.204124
3.338212,5.016136
3.436395,-0.245332
3.534578,-3.196845
3.632760,-2.264814
3.730943,3.740982
3.829126,5.926045
3.927308,-10.375455
4.025491,-14.949402
4.123674,-9.096966
4.221857,12.685227
4.320039,3.440735
4.418222,12.274120
4.516405,1.258685
4.614587,5.869395
4.712770,19.121413
4.810953,8.903661
4.909136,9.815462
5.007318,-2.104825
5.105501,-3.117408
5.203684,6.358946
5.301866,-1.703395
5.400049,0.531154
5.498232,-5.960550
5.596415,-4.926941
5.694597,8.657647
5.792780,1.718808
5.890963,-3.437930
5.989145,-9.763096
6.087328,-8.816991
6.185511,-0.261215
6.283693,-12.601053
6.381876,-1.120415
6.480059,-9.583305
6.578242,-4.737107
6.676424,-11.174892
6.774607,-20.961308
6.872790,2.706561
6.970972,-11.034996
7.069155,-1.867636
7.167338,-3.972266
7.265521,-12.315186
7.363703,-1.035079
7.461886,-0.234491
7.560069,1.376464
7.658251,-17.566236
7.756434,-6.097997
7.854617,-13.342046
7.952800,-13.367617
8.050982,-11.775766
8.149165,-16.136746
8.247348,-9.019191
8.345530,-3.394463
8.443713,-3.211603
8.541896,-4.618516
8.640079,-7.096069
8.738261,-0.008636
8.836444,-12.197564
8.934627,-3.645724
9.032809,7.390817
9.130992,-4.591479
9.229175,-7.173496
9.327358,-6.828360
9.425540,-10.848397
9.523723,-8.115306
9.621906,-6.818025
9.720088,-9.291615
9.818271,-6.933693
9.916454,3.640742
10.014636,1.331796
10.112819,-0.237193
10.211002,-8.056346
10.309185,-6.530339
10.407367,-5.870370
10.505550,-3.219513
10.603733,-18.737970
10.701915,-17.083522
10.800098,-7.484553
10.898281,-21.496329
10.996464,-16.865784
11.094646,0.973220
11.192829,-6.748862
11.291012,-2.748326
11.389194,-10.987496
11.487377,-6.286827
11.585560,4.506782
11.683743,-13.767707
11.781925,-4.636643
11.880108,-2.542036
11.978291,1.457544
12.076473,-18.332919
12.174656,-26.034776
12.272839,-7.558831
12.371022,-20.947979
12.469204,-17.289134
12.567387,-20.386127
12.665570,-21.957813
12.763752,-15.938088
12.861935,-12.983460
12.960118,-2.497061
13.058301,-11.512762
13.156483,-2.123216
13.254666,-6.932893
13.352849,-4.439135
13.451031,-13.051081
13.549214,0.373094
13.647397,3.924200
13.745580,2.980133
13.843762,5.890754
13.941945,6.359764
14.040128,3.825309
14.138310,11.631906
14.236493,2.855405
14.334676,7.181805
14.432858,-3.039137
14.531041,-7.174235
14.629224,0.018893
14.727407,3.064759
14.825589,-5.127583
14.923772,-11.870137
15.021955,-17.924690
15.120137,-4.341199
15.218320,-8.041063
15.316503,-17.526434
15.414686,-12.838771
15.512868,-0.181591
15.611051,3.966376
15.709234,-11.699159
15.807416,-8.996180
15.905599,-12.631449
16.003782,7.466190
16.101965,9.510433
16.200147,-3.209343
16.298330,3.266139
16.396513,1.623264
16.494695,-3.687500
16.592878,-8.062021
16.691061,1.493937
16.789244,7.659940
16.887426,0.040278
16.985609,12.827841
17.083792,22.224223
